userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	size
1	4040	TP63	1.69869768462926	1.21867858704772	528	13	872	12	872	299	153	5853	2067	TP63 MCF10A (breast epithelial cells) TP63	MCF10A (breast epithelial cells)	BTO:0001939	TP63	Treatment: 5 uM Nutlin3A for 6 hrs;	GTRD	EXP057962_MCF10A--breast-epithelial-cells-_TP63_MACS_TP63_MA0525.2.damo.pwm.bed	35495
1	1057	EGR1	1.68695443239229	Inf	13	14	1	2306	2306	774	0	6368	2220	EGR1 GM12878 (female B-cells lymphoblastoid cell line) EGR1	GM12878 (female B-cells lymphoblastoid cell line)	NULL	EGR1		ENCODE	ENCSR000BMQ_GM12878_EGR1_MACS_EGR1_MA0162.4.damo.pwm.bed	18885
1	3987	TP53	1.68531115760139	2.29551973989593	46	15	385	1028	1028	476	7	6335	2213	TP53 IMR90 (lung fibroblasts) TP53	IMR90 (lung fibroblasts)	NULL	TP53	Treatment: etoposide (100uM, 6hrs) Source: IMR90 fetal lung fibroblasts Passage: #30-35	GTRD	EXP048593_IMR90--lung-fibroblasts-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	4613
1	4015	TP53	1.6727308012779	1.82348269074203	73	16	450	644	644	370	14	6308	2206	TP53 GM00011 (fetal skin fibroblasts) TP53	GM00011 (fetal skin fibroblasts)	NULL	TP53		GEO	GSE55727_tp53_gm00011_MACS_TP53_MA0106.3.damo.pwm.bed	4818
1	1559	FOS	1.66671488267715	1.18882302719695	672	17	943	1	943	320	200	5709	2020	FOS MCF10A-ER-Src FOS	MCF10A-ER-Src	NULL	FOS	Genotype: transformed	GTRD	EXP048568_MCF10A-ER-Src_FOS_MACS_FOS_MA0476.1.damo.pwm.bed	95991
1	3965	TP53	1.63221829999284	2.58364752669804	37	18	364	1264	1264	549	5	6344	2215	TP53 MCF7 (Invasive ductal breast carcinoma) TP53	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	TP53	400 ng/mL neocarzinostatin for 3 h	GTRD	EXP036872_MCF7--Invasive-ductal-breast-carcinoma-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	2402
1	4071	USF1	1.62239845076735	1.99188693639634	57	19	422	839	839	427	10	6324	2210	USF1 WA01 (H1, human embryonic stem cells) USF1	WA01 (H1, human embryonic stem cells)	NULL	USF1		ENCODE	ENCSR000BIU_H1-hESC_USF1_MACS_USF1_MA0093.3.damo.pwm.bed	49138
1	1211	ESR1	1.61226536424675	3.25687184288164	28	20	336	1531	1531	629	3	6353	2217	ESR1 MCF7 (Invasive ductal breast carcinoma) ESR1	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	ESR1	Vehicle treatment	GTRD	EXP036167_MCF7--Invasive-ductal-breast-carcinoma-_ESR1_MACS_ESR1_MA0112.3.damo.pwm.bed	3556
1	3223	PBX2	1.61042033766454	1.54857635182014	115	21	556	388	556	322	26	6266	2194	PBX2 PBX2	NA	NA	PBX2	NA	NA	ENCSR979UVS_K562_PBX2_MACS_PBX2_MA1113.2.damo.pwm.bed	110496
1	1436	ESR1	1.56424797010493	1.59050637046859	100	22	531	446	531	333	22	6281	2198	ESR1 ZR-75-1 (invasive ductal carcinoma) ESR1	ZR-75-1 (invasive ductal carcinoma)	BTO:0003136	ESR1		GEO	GSE72249_esr1_zr751_MACS_ESR1_MA0112.3.damo.pwm.bed	13406
1	4037	TP63	1.5348630481135	1.19423190930875	555	23	933	10	933	322	164	5826	2056	TP63 human keratinocytes TP63	human keratinocytes	NULL	TP63	Treatment: Day 0 of epidermal differentiation Genotype: wildtype Source: background cell line WA 09	GTRD	EXP053351_human-keratinocytes_TP63_MACS_TP63_MA0525.2.damo.pwm.bed	35404
1	795	CTCF	1.52484355177169	1.65157433352454	85	24	514	545	545	361	18	6296	2202	CTCF foreskin keratinocyte CTCF	foreskin keratinocyte	NULL	CTCF	1mM calcium (CHEBI:86158) for 2 day	GTRD	EXP040256_foreskin-keratinocyte_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	46661
1	1026	E2F1	1.52163497072723	3.14007512171072	27	25	337	1564	1564	642	3	6354	2217	E2F1 U87 (glioblastoma) E2F1	U87 (glioblastoma)	NULL	E2F1	Treatment: Mock	GTRD	EXP049850_U87--glioblastoma-_E2F1_MACS_E2F1_MA0024.3.damo.pwm.bed	32575
1	4062	TP73	1.51060212451027	1.33947977729457	210	26	742	172	742	313	55	6171	2165	TP73 TP73	NA	NA	TP73	NA	GEO	GSE15780_tp73_saos-rep1_MACS_TP73_MA0861.1.damo.pwm.bed	15365
1	559	CTCF	1.47088277460651	1.42048942727014	146	27	620	295	620	314	36	6235	2184	CTCF MCF7 (Invasive ductal breast carcinoma) CTCF	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	CTCF	E2_SHCTR	Array Express	ERP000209_ctcf_mcf7-e2-shctr_MACS_CTCF_MA0139.1.damo.pwm.bed	77780
1	3964	TP53	1.46911572636806	1.3849994204244	166	28	707	241	707	325	42	6215	2178	TP53 MCF7 (Invasive ductal breast carcinoma) TP53	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	TP53	irradiation 7.5h + Nutlin	GTRD	EXP036830_MCF7--Invasive-ductal-breast-carcinoma-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	17025
1	3959	TP53	1.46071501756703	1.80532493566226	62	29	452	769	769	417	12	6319	2208	TP53 MCF7 (Invasive ductal breast carcinoma) TP53	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	TP53	irradiation 1h	GTRD	EXP036825_MCF7--Invasive-ductal-breast-carcinoma-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	4156
1	1367	ESR1	1.4272293470408	Inf	11	30	1	2426	2426	819	0	6370	2220	ESR1 primary breast cancer ESR1	primary breast cancer	NULL	ESR1	Treatment:  2 mM DSG for 25 mins	GTRD	EXP053237_primary-breast-cancer_ESR1_MACS_ESR1_MA0112.3.damo.pwm.bed	3800
1	528	CTCF	1.42071796351143	1.61204993412923	83	31	522	565	565	373	18	6298	2202	CTCF CTCF	NA	NA	CTCF	NA	NA	ENCSR000DUS_mammary_epithelial_cell_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	46934
1	3983	TP53	1.40630319488931	2.6168493563645	30	32	361	1473	1473	622	4	6351	2216	TP53 PHA-simulated human T-lynphocytes TP53	PHA-simulated human T-lynphocytes	NULL	TP53	Treatment: 10 uM Nutlin-3 for 24 hrs Source: healthy volunteer #104	GTRD	EXP048274_PHA-simulated-human-T-lynphocytes_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	2996
1	1976	GATA3	1.36592674940328	5.57741304111334	16	33	317	2127	2127	826	1	6365	2219	GATA3 A1A3(breast cancer cells) GATA3	A1A3(breast cancer cells)	NULL	GATA3	Treatment: 1hr EtOH, Doxycycline 72 hr CellLine: A1A3 from T47D cell line Genotype: Brg1 knockdown	GTRD	EXP048406_A1A3-breast-cancer-cells-_GATA3_MACS_GATA3_MA0037.3.damo.pwm.bed	6284
1	3389	RELB	1.36592674940328	5.57741304111334	16	33	317	2127	2127	826	1	6365	2219	RELB L1236 (Hodgkin lymphoma) RELB	L1236 (Hodgkin lymphoma)	NULL	RELB	NA	GEO	GSE63736_relb_l1236_MACS_RELB_MA1117.1.damo.pwm.bed	10169
1	4024	TP53	1.35074546769869	1.90104994288752	49	35	438	967	967	480	9	6332	2211	TP53 IMR90 (lung fibroblasts) TP53	IMR90 (lung fibroblasts)	NULL	TP53	NUT3A	GEO	GSE58740_tp53_imr90-nut3a_MACS_TP53_MA0106.3.damo.pwm.bed	3591
1	1558	FOS	1.34170378652275	1.16431052413996	601	36	980	8	980	341	182	5780	2038	FOS MCF10A-ER-Src FOS	MCF10A-ER-Src	NULL	FOS	Genotype: transformed	GTRD	EXP048568_MCF10A-ER-Src_FOS_MACS_FOS_MA0099.3.damo.pwm.bed	86734
1	4052	TP63	1.34067054925746	1.16376138507174	604	37	981	7	981	342	183	5777	2037	TP63 keratinocytes TP63	keratinocytes	NULL	TP63	D4	GEO	GSE59824_tp63_keratinocyte-d4_MACS_TP63_MA0525.2.damo.pwm.bed	41698
1	3206	OTX2	1.32461736166611	2.52923406669049	29	38	366	1504	1504	636	4	6352	2216	OTX2 D341 Med (medulloblastoma) OTX2	D341 Med (medulloblastoma)	NULL	OTX2	CRISPR.OTX2.4	GTRD	EXP038205_D341-Med--medulloblastoma-_OTX2_MACS_OTX2_MA0712.2.damo.pwm.bed	43257
1	790	CTCF	1.32092566389216	1.45098983724663	112	39	608	399	608	349	27	6269	2193	CTCF MCF7 (Invasive ductal breast carcinoma) CTCF	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	CTCF		GTRD	EXP040241_MCF7--Invasive-ductal-breast-carcinoma-_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	63245
1	810	CTCF	1.30701792046926	1.69284903181151	63	40	504	753	753	432	13	6318	2207	CTCF HeLa Kyoto (cervical adenocarcinoma) CTCF	HeLa Kyoto (cervical adenocarcinoma)	NULL	CTCF	Wapl-depletion	GTRD	EXP040504_HeLa-Kyoto--cervical-adenocarcinoma-_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	47767
1	605	CTCF	1.30301795741013	1.37179568949917	145	41	716	300	716	352	37	6236	2183	CTCF MCF7 (Invasive ductal breast carcinoma) CTCF	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	CTCF	oestrogen	GTRD	EXP030932_MCF7--Invasive-ductal-breast-carcinoma-_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	81857
1	3174	NRF1	1.29739323308732	Inf	10	42	1	2487	2487	843	0	6371	2220	NRF1 K562 (myelogenous leukemia) NRF1	K562 (myelogenous leukemia)	NULL	NRF1		ENCODE	ENCSR837EYC_K562_NRF1_MACS_NRF1_MA0506.1.damo.pwm.bed	17713
1	3179	NRF1	1.29739323308732	Inf	10	42	1	2487	2487	843	0	6371	2220	NRF1 K562 (myelogenous leukemia) NRF1	K562 (myelogenous leukemia)	NULL	NRF1		GTRD	EXP038538_K562--myelogenous-leukemia-_NRF1_MACS_NRF1_MA0506.1.damo.pwm.bed	14312
1	3316	RARG	1.29739323308732	Inf	10	42	1	2487	2487	843	0	6371	2220	RARG RWPE1 (prostate epithelial cells) RARG	RWPE1 (prostate epithelial cells)	BTO:0003709	RARG	Treatment: 10 uM DMSO for 2 hr Gender: male Source: non-malignant prostate cell line infected with BAC-RARG-EGFP	GTRD	EXP048631_RWPE1--prostate-epithelial-cells-_RARG_MACS_RARG_MA1553.1.damo.pwm.bed	1173
1	2685	MAFK	1.29065642216601	3.48665700094229	20	45	330	1901	1901	759	2	6361	2218	MAFK MCF7 (Invasive ductal breast carcinoma) MAFK	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	MAFK	NA	ENCODE	ENCSR555PBN_MCF-7_MAFK_MACS_MAFK_MA0496.3.damo.pwm.bed	8728
1	3744	STAT3	1.29065642216601	3.48665700094229	20	45	330	1901	1901	759	2	6361	2218	STAT3 SU-DHL-1 (Anaplastic large cell lymphoma) STAT3	SU-DHL-1 (Anaplastic large cell lymphoma)	BTO:0005058	STAT3	Treatment: DMSO for 3 hrs	GTRD	EXP053281_SU-DHL-1--Anaplastic-large-cell-lymphoma-_STAT3_MACS_STAT3_MA0144.2.damo.pwm.bed	13426
1	4028	TP63	1.28095410819955	1.16538446447994	546	47	979	11	979	346	165	5835	2055	TP63 keratinocytes TP63	keratinocytes	NULL	TP63	NULL	GTRD	EXP000293_keratinocytes_TP63_MACS_TP63_MA0525.2.damo.pwm.bed	35453
1	2071	GRHL2	1.26209691587848	1.24660465882043	263	48	843	115	843	335	74	6118	2146	GRHL2 HBE GRHL2	HBE	NA	GRHL2		GEO	GSE46194_grhl2_hbe_MACS_GRHL2_MA1105.2.damo.pwm.bed	40252
1	270	BACH1	1.25847202221515	5.22802730190654	15	49	319	2200	2200	856	1	6366	2219	BACH1 BACH1	NA	NA	BACH1	NA	NA	ENCSR699TNT_HepG2_BACH1_MACS_BACH1_MA0591.1.damo.pwm.bed	6555
1	3331	RELA	1.25847202221515	5.22802730190654	15	49	319	2200	2200	856	1	6366	2219	RELA GM12891 (male B- cells lymphoblastoid cell line) RELA	GM12891 (male B- cells lymphoblastoid cell line)	NULL	RELA	human recombinant TNF-alpha from eBioscience [product# 14-8329-62] (Snyder)	ENCODE	ENCSR000EAI_GM12891_RELA_MACS_RELA_MA0107.1.damo.pwm.bed	14885
1	3969	TP53	1.25730945798068	2.78990348959765	24	51	346	1691	1691	696	3	6357	2217	TP53 HCT-116 (colon carcinoma) TP53	HCT-116 (colon carcinoma)	BTO:0001109	TP53	DMSO	GTRD	EXP037746_HCT-116--colon-carcinoma-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	1588
1	3992	TP53	1.25730945798068	2.78990348959765	24	51	346	1691	1691	696	3	6357	2217	TP53 A549 (lung carcinoma) TP53	A549 (lung carcinoma)	BTO:0000018	TP53	Treatment: 4GY for 2hrs;	GTRD	EXP051021_A549--lung-carcinoma-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	3125
1	160	AR	1.25514379705695	1.35393757860917	147	53	728	290	728	357	38	6234	2182	AR VCaP (prostate carcinoma) AR	VCaP (prostate carcinoma)	BTO:0003215	AR	SHPIAS1_R1881	GEO	GSE56086_AR_vcap-shpias1-r1881_MACS_AR_MA0007.3.damo.pwm.bed	83992
1	1837	FOXA2	1.25416467073753	1.27708587824024	215	54	801	166	801	340	59	6166	2161	FOXA2 BJ (fibroblasts) FOXA2	BJ (fibroblasts)	NULL	FOXA2	Treatment: to induce FOXA2, doxycycline was added at 5ug/mL Genotype: FOXA2 mimo	GTRD	EXP049299_BJ--fibroblasts-_FOXA2_MACS_FOXA2_MA0047.3.damo.pwm.bed	117553
1	1288	ESR1	1.25218994458368	1.43904162955047	107	55	613	416	613	361	26	6274	2194	ESR1 BT-474 (breast invasive ductal carcinoma) ESR1	BT-474 (breast invasive ductal carcinoma)	BTO:0001932	ESR1	Tam-Resist	GTRD	EXP038791_BT-474--breast-invasive-ductal-carcinoma-_ESR1_MACS_ESR1_MA0112.3.damo.pwm.bed	19237
1	3209	OTX2	1.25168616164365	1.66571918637968	62	56	510	769	769	445	13	6319	2207	OTX2 D341 Med (medulloblastoma) OTX2	D341 Med (medulloblastoma)	NULL	OTX2	shGFP	GTRD	EXP038214_D341-Med--medulloblastoma-_OTX2_MACS_OTX2_MA0712.2.damo.pwm.bed	92034
1	636	CTCF	1.24267534194933	2.23273075224307	32	57	388	1410	1410	618	5	6349	2215	CTCF IPSC-derived bipolar neuron CTCF	IPSC-derived bipolar neuron	NULL	CTCF		GTRD	EXP036844_IPSC-derived-bipolar-neuron_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	46772
1	3726	STAT1	1.24267534194933	2.23273075224307	32	57	388	1410	1410	618	5	6349	2215	STAT1 HeLa S3 (cervical adenocarcinoma) STAT1	HeLa S3 (cervical adenocarcinoma)	BTO:0000568	STAT1	IFNgamma	GTRD	EXP000505_HeLa-S3--cervical-adenocarcinoma-_STAT1_MACS_STAT1_MA0137.3.damo.pwm.bed	15253
1	1560	FOS	1.24222300649573	1.15167647024854	608	59	1020	6	1020	362	186	5773	2034	FOS MCF10A-ER-Src FOS	MCF10A-ER-Src	NULL	FOS	Genotype: transformed	GTRD	EXP048568_MCF10A-ER-Src_FOS_MACS_FOS_MA1134.1.damo.pwm.bed	88249
1	484	CTCF	1.23517891721236	1.39905297384477	120	60	621	367	621	349	30	6261	2190	CTCF MCF7 (Invasive ductal breast carcinoma) CTCF	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	CTCF		ENCODE	ENCSR000DMR_MCF-7_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	63664
1	811	CTCF	1.22883359269635	1.68780154388953	58	61	505	824	824	463	12	6323	2208	CTCF HeLa Kyoto (cervical adenocarcinoma) CTCF	HeLa Kyoto (cervical adenocarcinoma)	NULL	CTCF	Pds5SA/B depletion	GTRD	EXP040505_HeLa-Kyoto--cervical-adenocarcinoma-_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	44523
1	666	CTCF	1.2215260460797	1.62146271262752	65	62	520	738	738	440	14	6316	2206	CTCF MCF10A (breast epithelial cells) CTCF	MCF10A (breast epithelial cells)	BTO:0001939	CTCF		GTRD	EXP038623_MCF10A--breast-epithelial-cells-_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	42899
1	1561	FOS	1.21975573992886	1.14687679145973	625	63	1029	3	1029	365	192	5756	2028	FOS MCF10A-ER-Src FOS	MCF10A-ER-Src	NULL	FOS	Genotype: transformed	GTRD	EXP048568_MCF10A-ER-Src_FOS_MACS_FOS_MA1141.1.damo.pwm.bed	90835
1	3348	RELA	1.19646357111985	3.31182395038901	19	64	335	1956	1956	785	2	6362	2218	RELA GM12891 (male B- cells lymphoblastoid cell line) RELA	GM12891 (male B- cells lymphoblastoid cell line)	NULL	RELA	TNF-alpha induced (6h)	GTRD	EXP000774_GM12891--male-B-cells-_RELA_MACS_RELA_MA0107.1.damo.pwm.bed	19931
1	981	CTCF	1.18048327799527	1.48495959569471	85	65	581	545	581	397	20	6296	2200	CTCF MCF7 (Invasive ductal breast carcinoma) CTCF	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	CTCF		GEO	GSE70764_ctcf_mcf7_MACS_CTCF_MA0139.1.damo.pwm.bed	51481
1	4011	TP53	1.17790094118042	2.03509391620298	35	66	419	1318	1318	601	6	6346	2214	TP53 U2OS (osteosarcoma) TP53	U2OS (osteosarcoma)	BTO:0001938	TP53	DMSO	GEO	GSE46641_tp53_u2os-dmso_MACS_TP53_MA0106.3.damo.pwm.bed	2016
1	3824	TEAD1	1.17198642781363	2.67325204935461	23	67	360	1739	1739	722	3	6358	2217	TEAD1 SF268 (astrocytoma ) TEAD1	SF268 (astrocytoma )	BTO:0003772	TEAD1		GTRD	EXP034063_SF268--astrocytoma--_TEAD1_MACS_TEAD1_MA0090.3.damo.pwm.bed	23693
1	4082	USF2	1.16757473186093	Inf	9	68	1	2585	2585	885	0	6372	2220	USF2 HepG2 (hepatoblastoma) USF2	HepG2 (hepatoblastoma)	BTO:0000599	USF2		ENCODE	ENCSR000EEF_HepG2_USF2_MACS_USF2_MA0526.3.damo.pwm.bed	7970
1	784	CTCF	1.16360616306633	1.78382908722015	46	69	453	1028	1028	517	9	6335	2211	CTCF LNCaP C4-2B (prostate carcinoma) CTCF	LNCaP C4-2B (prostate carcinoma)	BTO:0004959	CTCF		GTRD	EXP040145_LNCaP-C4-2B--prostate-carcinoma-_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	37006
1	3400	REST	1.15225552013461	4.878751890122	14	70	321	2252	2252	881	1	6367	2219	REST PFSK1 (primitive neuroectodermal tumor) REST	PFSK1 (primitive neuroectodermal tumor)	NULL	REST		ENCODE	ENCSR000BOX_PFSK-1_REST_MACS_REST_MA0138.2.damo.pwm.bed	13730
1	3428	REST	1.15225552013461	4.878751890122	14	70	321	2252	2252	881	1	6367	2219	REST CRC107 (colorectal cancer metastatic stem cells) REST	CRC107 (colorectal cancer metastatic stem cells)	NULL	REST	Source: organoid integrity;	GTRD	EXP058086_CRC107--colorectal-cancer-metastatic-stem-cells-_REST_MACS_REST_MA0138.2.damo.pwm.bed	11191
1	3471	RUNX1	1.15225552013461	4.878751890122	14	70	321	2252	2252	881	1	6367	2219	RUNX1 SKH1 (chronic myelogenous leukemia, BCR-ABL1 positive) RUNX1	SKH1 (chronic myelogenous leukemia, BCR-ABL1 positive)	NULL	RUNX1		GTRD	EXP037836_SKH1--chronic-myelogenous-leukemia--BCR-ABL1-positive-_RUNX1_MACS_RUNX1_MA0002.2.damo.pwm.bed	22588
1	3508	RUNX3	1.13524809260499	1.46726113807607	84	73	589	557	589	406	20	6297	2200	RUNX3 GM12878 (female B-cells lymphoblastoid cell line) RUNX3	GM12878 (female B-cells lymphoblastoid cell line)	NULL	RUNX3	NA	ENCODE	ENCSR000BRI_GM12878_RUNX3_MACS_RUNX3_MA0684.2.damo.pwm.bed	82726
1	800	CTCF	1.12626119027991	1.7101953547652	49	74	501	967	967	514	10	6332	2210	CTCF neural progenitors CTCF	neural progenitors	NULL	CTCF		GTRD	EXP040290_neural-progenitors_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	64099
1	635	CTCF	1.12525700764162	1.89393572288638	38	75	439	1238	1238	584	7	6343	2213	CTCF IPSC-derived bipolar neuron CTCF	IPSC-derived bipolar neuron	NULL	CTCF		GTRD	EXP036843_IPSC-derived-bipolar-neuron_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	49668
1	4010	TP53	1.11759762973241	1.57108736627079	63	76	533	753	753	454	14	6318	2206	TP53 hESC-1 (Embryonic stem cells) TP53	hESC-1 (Embryonic stem cells)	NULL	TP53	DAMAGED	GEO	GSE39912_tp53_esc-damaged_MACS_TP53_MA0106.3.damo.pwm.bed	10320
1	3981	TP53	1.10900115423467	1.97664228410807	34	77	423	1349	1349	616	6	6347	2214	TP53 PHA-simulated human T-lynphocytes TP53	PHA-simulated human T-lynphocytes	NULL	TP53	Treatment: 10 uM Nutlin-3 for 24 hrs Source: healthy volunteer #90	GTRD	EXP048271_PHA-simulated-human-T-lynphocytes_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	3055
1	3185	NRF1	1.10378697914867	3.13704549233148	18	78	338	1996	1996	804	2	6363	2218	NRF1 HCC1954 (ductal breast carcinoma) NRF1	HCC1954 (ductal breast carcinoma)	BTO:0005368	NRF1		GEO	GSE67867_nrf1_hcc1954_MACS_NRF1_MA0506.1.damo.pwm.bed	14946
1	587	CTCF	1.10325311906032	1.37313867871064	110	79	715	404	715	399	28	6271	2192	CTCF MCF7 (Invasive ductal breast carcinoma) CTCF	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	CTCF	NULL	GTRD	EXP001021_MCF7--Invasive-ductal-breast-carcinoma-_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	82047
1	4001	TP53	1.09348435580504	1.23699442195957	219	80	853	160	853	364	62	6162	2158	TP53 MCF10A (breast epithelial cells) TP53	MCF10A (breast epithelial cells)	BTO:0001939	TP53	Treatment: 5 uM Nutlin3A for 6 hrs;	GTRD	EXP057964_MCF10A--breast-epithelial-cells-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	16776
1	966	CTCF	1.08823905996462	1.38437713249244	103	81	708	434	708	408	26	6278	2194	CTCF WA01 (H1, human embryonic stem cells) CTCF	WA01 (H1, human embryonic stem cells)	NULL	CTCF	EMB	GEO	GSE52457_ctcf_h1-emb_MACS_CTCF_MA0139.1.damo.pwm.bed	96285
1	2210	IRF4	1.08820656650595	2.5566365612353	22	82	365	1797	1797	748	3	6359	2217	IRF4 GM12878 (female B-cells lymphoblastoid cell line) IRF4	GM12878 (female B-cells lymphoblastoid cell line)	NULL	IRF4		ENCODE	ENCSR000BGY_GM12878_IRF4_MACS_IRF4_MA1419.1.damo.pwm.bed	32606
1	1884	GABPA	1.08791711709116	2.26650054602961	26	83	386	1602	1602	690	4	6355	2216	GABPA GM12878 (female B-cells lymphoblastoid cell line) GABPA	GM12878 (female B-cells lymphoblastoid cell line)	NULL	GABPA		GTRD	EXP054616_GM12878--female-B-cells-lymphoblastoid-cell-line-_GABPA_MACS_GABPA_MA0062.3.damo.pwm.bed	34360
